run,slice,label,precision,recall,f1,support,average_precision
run3_kd_crd,mid,Shatter,0.762712,0.75,0.756303,60,0.819008
run3_kd_crd,mid,Squeak,0.741935,0.383333,0.505495,60,0.566416
run3_kd_crd,mid,Tambourine,0.772727,0.85,0.809524,60,0.880903
run3_kd_crd,mid,Tearing,0.484375,0.516667,0.5,60,0.59549
run3_kd_crd,mid,Telephone,0.614286,0.716667,0.661538,60,0.811315
run3_kd_crd,mid,Trumpet,0.683333,0.683333,0.683333,60,0.805856
run3_kd_crd,mid,"Violin, fiddle",0.911111,0.683333,0.780952,60,0.785491
run3_kd_crd,mid,Writing,0.405063,0.533333,0.460432,60,0.535307
run3b_crd_only,full,Acoustic guitar,0.590308,0.744444,0.658477,180,0.789316
run3b_crd_only,full,Applause,0.656863,0.744444,0.697917,180,0.749518
run3b_crd_only,full,Bark,0.845304,0.85,0.847645,180,0.936795
run3b_crd_only,full,"Burping, eructation",0.815951,0.738889,0.77551,180,0.861105
run3b_crd_only,full,Bus,0.73743,0.733333,0.735376,180,0.784108
run3b_crd_only,full,Chime,0.472973,0.583333,0.522388,180,0.652791
run3b_crd_only,full,Clarinet,0.704403,0.622222,0.660767,180,0.73743
run3b_crd_only,full,Computer keyboard,0.660377,0.583333,0.619469,180,0.70948
run3b_crd_only,full,Cough,0.760736,0.688889,0.723032,180,0.749064
run3b_crd_only,full,Cowbell,0.663507,0.777778,0.716113,180,0.804157
run3b_crd_only,full,Drawer open or close,0.503067,0.455556,0.478134,180,0.528656
run3b_crd_only,full,Electric piano,0.748691,0.794444,0.770889,180,0.850364
run3b_crd_only,full,Fart,0.823171,0.75,0.784884,180,0.860952
run3b_crd_only,full,Finger snapping,0.701987,0.588889,0.640483,180,0.688607
run3b_crd_only,full,Fireworks,0.763314,0.716667,0.739255,180,0.840502
run3b_crd_only,full,Flute,0.777778,0.933333,0.848485,180,0.935664
run3b_crd_only,full,Glockenspiel,0.481781,0.661111,0.557377,180,0.539457
run3b_crd_only,full,Gong,0.869792,0.927778,0.897849,180,0.970913
